Operating_Airline,active_period,Landing_Count,Running_Total,Running_Average
"ABC Aerolineas S.A. de C.V. dba Interjet",201803,16,16,16.0000
"ABC Aerolineas S.A. de C.V. dba Interjet",201804,24,40,20.0000
"ABC Aerolineas S.A. de C.V. dba Interjet",201805,28,68,22.6667
"ABC Aerolineas S.A. de C.V. dba Interjet",201806,26,94,23.5000
"ABC Aerolineas S.A. de C.V. dba Interjet",201807,27,121,24.2000
"ABC Aerolineas S.A. de C.V. dba Interjet",201808,26,147,24.5000
"ABC Aerolineas S.A. de C.V. dba Interjet",201809,26,173,24.7143
"Aer Lingus",201802,8,19,9.5000
"Aer Lingus",201802,11,19,9.5000
"Aer Lingus",201803,13,49,12.2500
"Aer Lingus",201803,17,49,12.2500
"Aer Lingus",201804,8,79,13.1667
"Aer Lingus",201804,22,79,13.1667
"Aer Lingus",201805,21,110,13.7500
"Aer Lingus",201805,10,110,13.7500
"Aer Lingus",201806,24,140,14.0000
"Aer Lingus",201806,6,140,14.0000
"Aer Lingus",201807,5,171,14.2500
"Aer Lingus",201807,26,171,14.2500
"Aer Lingus",201808,24,202,14.4286
"Aer Lingus",201808,7,202,14.4286
"Aer Lingus",201809,8,232,14.5000
"Aer Lingus",201809,22,232,14.5000
Aeromexico,201802,80,80,80.0000
Aeromexico,201803,94,174,87.0000
Aeromexico,201804,87,261,87.0000
Aeromexico,201805,88,349,87.2500
Aeromexico,201806,90,439,87.8000
Aeromexico,201807,88,531,75.8571
Aeromexico,201807,4,531,75.8571
Aeromexico,201808,94,625,78.1250
Aeromexico,201809,1,711,71.1000
Aeromexico,201809,85,711,71.1000
"Air Canada",201802,57,214,53.5000
"Air Canada",201802,127,214,53.5000
"Air Canada",201802,29,214,53.5000
"Air Canada",201802,1,214,53.5000
"Air Canada",201803,7,504,56.0000
"Air Canada",201803,39,504,56.0000
"Air Canada",201803,44,504,56.0000
"Air Canada",201803,24,504,56.0000
"Air Canada",201803,176,504,56.0000
"Air Canada",201804,5,766,47.8750
"Air Canada",201804,177,766,47.8750
"Air Canada",201804,28,766,47.8750
"Air Canada",201804,19,766,47.8750
"Air Canada",201804,2,766,47.8750
"Air Canada",201804,30,766,47.8750
"Air Canada",201804,1,766,47.8750
"Air Canada",201805,37,1036,45.0435
"Air Canada",201805,18,1036,45.0435
"Air Canada",201805,1,1036,45.0435
"Air Canada",201805,75,1036,45.0435
"Air Canada",201805,124,1036,45.0435
"Air Canada",201805,1,1036,45.0435
"Air Canada",201805,14,1036,45.0435
"Air Canada",201806,15,1376,44.3871
"Air Canada",201806,176,1376,44.3871
"Air Canada",201806,6,1376,44.3871
"Air Canada",201806,6,1376,44.3871
"Air Canada",201806,7,1376,44.3871
"Air Canada",201806,45,1376,44.3871
"Air Canada",201806,83,1376,44.3871
"Air Canada",201806,2,1376,44.3871
"Air Canada",201807,7,1744,45.8947
"Air Canada",201807,30,1744,45.8947
"Air Canada",201807,24,1744,45.8947
"Air Canada",201807,8,1744,45.8947
"Air Canada",201807,15,1744,45.8947
"Air Canada",201807,147,1744,45.8947
"Air Canada",201807,137,1744,45.8947
"Air Canada",201808,146,2109,46.8667
"Air Canada",201808,130,2109,46.8667
"Air Canada",201808,18,2109,46.8667
"Air Canada",201808,3,2109,46.8667
"Air Canada",201808,13,2109,46.8667
"Air Canada",201808,12,2109,46.8667
"Air Canada",201808,43,2109,46.8667
"Air Canada",201809,20,2438,46.8846
"Air Canada",201809,4,2438,46.8846
"Air Canada",201809,13,2438,46.8846
"Air Canada",201809,120,2438,46.8846
"Air Canada",201809,4,2438,46.8846
"Air Canada",201809,43,2438,46.8846
"Air Canada",201809,125,2438,46.8846
