Aircraft_Model,Avg_Landings,Avg_Weight
CRJ2,572.2500,26895750.0000
A320,266.7477,37857838.1495
B773,35.9533,19918146.6667
B739,328.1395,51552837.2093
A359,21.5116,9790613.5581
A333,13.5484,5535732.7097
B738,170.2477,24835074.3119
B763,21.1957,6796178.2609
B788,23.5152,8935757.5758
E175,50.8571,3814498.2857
A388,28.3793,24414587.3103
B752,334.5714,66245142.8571
B748,23.6786,16973035.7143
B789,37.6176,15987500.0000
A332,17.7143,7073386.6508
B737,313.6452,40165393.5484
B762,19.1000,5215700.0000
A321,232.9796,40039544.6939
B772,45.0000,20469835.2121
CRJ9,69.3636,5209209.0909
B744,19.5088,12529652.1404
A346,25.4286,14519638.0000
B753,255.2143,57168000.0000
A124,1.0000,727500.0000
CRJ7,200.8889,13459555.5556
B777,1.0000,460000.0000
B764,25.9091,9068181.8182
A319,46.7647,6424319.0588
C208,19.0000,161500.0000
E170,305.0400,22877422.8200
B712,213.0000,23430000.0000
A343,21.7857,9201454.5714
B736,2.0000,241000.0000
MD90,7.5000,1065000.0000
