Operating_Airline,Name_Length
"SkyWest Airlines",16
"Air Canada",10
"Japan Airlines",14
"COPA Airlines, Inc.",19
"Hong Kong Airlines Limited",26
Finnair,7
"WOW Air",7
"United Airlines",15
"Southwest Airlines",18
"Singapore Airlines",18
"Delta Air Lines",15
"United Airlines",15
"Compass Airlines",16
"United Airlines",15
"Delta Air Lines",15
Emirates,8
"American Airlines",17
"Air France",10
"Volaris Airlines",16
"Korean Air Lines",16
"Virgin Atlantic",15
"Frontier Airlines",17
"American Airlines",17
"Sun Country Airlines",20
"Atlas Air, Inc",14
Finnair,7
"Air France",10
"China Southern",14
"United Airlines",15
"United Airlines",15
"United Airlines",15
"Air Pacific Limited dba Fiji Airways",36
"Delta Air Lines",15
"Air France",10
"Jazz Aviation",13
"SkyWest Airlines",16
"Atlas Air, Inc",14
"Air Canada",10
"Virgin Atlantic",15
"United Airlines",15
"Air Canada",10
"Swissport USA",13
"Virgin Atlantic",15
"China Eastern",13
"United Airlines",15
"Air New Zealand",15
"Qantas Airways",14
Aeromexico,10
"SkyWest Airlines",16
"American Airlines",17
TACA,4
"United Airlines",15
"American Airlines",17
"EVA Airways",11
"SkyWest Airlines",16
"United Airlines",15
"United Airlines",15
"United Airlines",15
"Turkish Airlines",16
"Southwest Airlines",18
"Sun Country Airlines",20
"Lufthansa German Airlines",25
"Air India Limited",17
"China Airlines",14
"Lufthansa German Airlines",25
"Icelandair EHF",14
"Air New Zealand",15
"Delta Air Lines",15
"Delta Air Lines",15
"Cathay Pacific",14
"Aer Lingus",10
TACA,4
"United Airlines",15
Iberia,6
"United Airlines",15
"Korean Air Lines",16
"China Eastern",13
"Thomas Cook Airlines",20
"Virgin Atlantic",15
"United Airlines",15
"United Airlines",15
"Hawaiian Airlines",17
"Qantas Airways",14
"Philippine Airlines",19
"United Airlines",15
"American Airlines",17
Aeromexico,10
"Delta Air Lines",15
"Alaska Airlines",15
"Redding Aero Enterprises",24
"SkyWest Airlines",16
"Aer Lingus",10
"United Airlines",15
"SkyWest Airlines",16
"French Bee",10
"Delta Air Lines",15
"Alaska Airlines",15
"JetBlue Airways",15
"XL Airways France",17
